gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
analysis_id,6m3cc4mw2yq2nn0
parameter_name,Eosinophil percentage
mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.6402258
parameter_id,MGP_PBI_020_001
