parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
pvalue,0.5293139
gene_accession_id,MGI:1919137
mouse_strain,C56BL
mouse_life_stage,Early adult
gene_symbol,Ppm1j
analysis_id,fpw4hje2yywx005
