analysis_id,42pvpm8tr2w61p0
mouse_life_stage,E15.5
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
pvalue,0.883557
gene_symbol,Mecom
gene_accession_id,MGI:95457
