analysis_id,i091hhqa1f1ki40
gene_accession_id,MGI:88174
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
mouse_life_stage,E15.5
gene_symbol,Bmi1
mouse_strain,C52BL
pvalue,0.07501658
