analysis_id,13874e9023ax955
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
mouse_strain,C57BL
pvalue,0.6449366
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
gene_symbol,Sema6c
