analysis_id,ssr6b6hn8d95cae
pvalue,0.9955678
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tnni1
parameter_name,cDCs CD11b Type
