analysis_id,304315l93a62b82
gene_symbol,Opn3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1338022
parameter_id,MGP_MLN_014_001
pvalue,0.5017561
