parameter_name,Hindlimbs - size
pvalue,0.9218025
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
analysis_id,o44e5721t904p15
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
gene_symbol,Lpgat1
