analysis_id,4kuz93424ivt2qf
pvalue,0.6278726
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
mouse_strain,C57BL
