parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1918764
parameter_name,Tibia length
gene_symbol,Sfpq
mouse_life_stage,Early adult
pvalue,0.1156635
mouse_strain,C57BL
analysis_id,hyds406m259m0tp
