analysis_id,k5sak5l8d08201v
pvalue,0.8336665
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_071_001
