parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
pvalue,0.3862206
mouse_strain,C57BL
analysis_id,3he9b1o513uig8l
gene_symbol,Lamb3
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:99915
