analysis_id,l94ea92r81675i4
pvalue,0.6820786
parameter_name,Calcium
gene_symbol,Ola1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1914309
