analysis_id,11937u429l58uw7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:1346088
gene_symbol,Cd52
parameter_id,IMPC_CSD_011_001
pvalue,0.6140571
