parameter_name,Light side time spent
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
mouse_strain,C57BL
pvalue,0.9458808
analysis_id,069o9y3bb2x5n27
gene_symbol,Nanp
parameter_id,JAX_LDT_002_001
