parameter_name,Hemoglobin
gene_symbol,Sprr1b
mouse_strain,C57BL
gene_accession_id,MGI:106659
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
analysis_id,ryg836ul8l2v876
pvalue,0.20881
