analysis_id,a01udeetc8248v6
gene_accession_id,MGI:2444554
parameter_name,Coat colouration
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mapkap1
parameter_id,M-G-P_026_001_004
pvalue,0.8986326
