gene_symbol,Dmap1
analysis_id,9qgx5517x864s7w
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_027_001
pvalue,0.6275031
mouse_strain,C57BL
