parameter_id,ESLIM_016_001_003
pvalue,0.6949256
gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_name,Haemoglobin
mouse_strain,C57BL
analysis_id,lqz004p315w337a
gene_accession_id,MGI:1921493
