gene_symbol,Dnaaf9
parameter_id,MGP_IMM_089_001
pvalue,0.1882233
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1923029
analysis_id,uzltr01g52s7440
mouse_life_stage,Early adult
