analysis_id,8h0yq2m6mf314a9
pvalue,0.7207633
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
mouse_strain,C57BL
