parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:109356
analysis_id,ne6hwv2j90rit76
pvalue,0.9254024
parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Late adult
