analysis_id,l3g64yf0m7h230j
parameter_name,Time mobile dark side
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.3508765
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
