parameter_name,HR
pvalue,0.8252359
mouse_life_stage,Early adult
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_id,JAXLA_ECG_002_001
analysis_id,5f8m84e694z735x
mouse_strain,C57BL
