gene_symbol,Ahcy
mouse_life_stage,E9.5
parameter_id,MGP_BMI_019_001
analysis_id,r0178c311019923
pvalue,0.116247
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:87968
