analysis_id,f8z0g23oesf234h
gene_symbol,Hrnr
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:3046938
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2097793
