parameter_name,Neutrophil cell count
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.2143718
gene_accession_id,MGI:1336200
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Middle aged adult
analysis_id,9qrx3zi2ndvk6gt
