gene_symbol,Lpgat1
parameter_id,JAXLA_HBD_001_001
analysis_id,52tm517d37e71cl
pvalue,0.454401
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_name,Total holepokes
