parameter_name,Hindlimbs - size
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,yxbzau1rc34550t
pvalue,0.6402121
gene_accession_id,MGI:1916220
parameter_id,JAXLA_CSD_022_001
gene_symbol,Dcaf12
