parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
mouse_life_stage,Early adult
analysis_id,60y8x66vhqjpqv1
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.6643451
gene_symbol,Pld1
