analysis_id,dv8162hyo4eluo0
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
pvalue,0.3529864
parameter_name,Lens Opacity
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
