parameter_id,MGP_IMM_016_001
gene_symbol,Sfpq
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
analysis_id,az31q70r4efuqyb
pvalue,0.5647092
