gene_symbol,Stk35
parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7118942
gene_accession_id,MGI:1914583
analysis_id,k3y0bd87yv097mz
parameter_name,Vibrissae - appearance
