parameter_name,Neutrophil percentage
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.9570774
parameter_id,MGP_PBI_019_001
gene_symbol,Lurap1
analysis_id,27qw2d3ds96u0s0
mouse_life_stage,Early adult
