analysis_id,c05o6yseg1f061l
mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
gene_symbol,Opn3
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
pvalue,0.7706742
gene_accession_id,MGI:1338022
