analysis_id,7ihzn4b73otiq2x
parameter_id,ESLIM_016_001_003
pvalue,0.2664269
parameter_name,Haemoglobin
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Ola1
