parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
analysis_id,zw488ns6cezef53
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8862998
gene_accession_id,MGI:106100
gene_symbol,Etfdh
