parameter_name,B2B Cells
gene_accession_id,MGI:97054
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6rkrax10626qff7
parameter_id,IMPC_IMM_065_001
pvalue,0.4772991
gene_symbol,Mov10
