analysis_id,yips8j01885a1q8
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_name,Resting NK cells - % of NK cells
pvalue,0.9202293
mouse_strain,129SV
