analysis_id,w041g13367qao58
mouse_strain,C57BL
pvalue,0.4275155
parameter_name,Neural tube morphology
gene_accession_id,MGI:1339969
parameter_id,IMPC_GEL_060_001
gene_symbol,Gja10
mouse_life_stage,Early adult
