parameter_name,Neural tube morphology
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
pvalue,0.8035027
analysis_id,31jhlvb09e50ij8
