analysis_id,scq49m9un5wxlg6
parameter_id,JAX_OFD_015_001
pvalue,0.9826589
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Center resting time
gene_symbol,Slc30a4
