gene_symbol,Slc2a8
parameter_name,Placenta Morphology
analysis_id,l948u657i241m4p
mouse_strain,C57BL
gene_accession_id,MGI:1860103
pvalue,0.3330222
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
