mouse_life_stage,Early adult
gene_symbol,Mgst2
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
analysis_id,0166p8gd926pn70
gene_accession_id,MGI:2448481
parameter_name,KLRG1+ mature NK cell number
pvalue,0.8244825
