analysis_id,3o6mr3xi9km21de
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
pvalue,0.7909197
gene_symbol,Tatdn3
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
