gene_symbol,Eprs1
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,tl4c488vg5pwe4n
pvalue,0.9263134
gene_accession_id,MGI:97838
