gene_symbol,Rnf114
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1933159
mouse_strain,C57BL
pvalue,0.29916
mouse_life_stage,Early adult
analysis_id,q9tu9stluv65kgm
parameter_id,MGP_MLN_021_001
