parameter_name,Head coat/hair presence
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,d9kd04bp4oyqi6q
gene_accession_id,MGI:1328306
parameter_id,MGP_CSD_015_001
pvalue,0.3738712
gene_symbol,Orc2
