analysis_id,59c12qm19nc13dr
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_name,Delayed embryonic development
pvalue,0.6781312
parameter_id,IMPC_GEL_063_001
