analysis_id,554kgkm90n996hu
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.6477169
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:1933159
