analysis_id,p2rg65xbi04318s
gene_symbol,Clvs1
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,C57BL
pvalue,0.2830342
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
