analysis_id,6131co98axj7o44
pvalue,0.1557298
gene_accession_id,MGI:2444554
parameter_name,Neutrophil percentage
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
