analysis_id,7rk3ti2v9ie9355
pvalue,0.9845906
mouse_life_stage,E9.5
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
