analysis_id,ge1367ir4gn90f0
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.7528994
mouse_life_stage,E18.5
