parameter_name,Corneal vascularization
mouse_strain,C57BL
gene_accession_id,MGI:88479
analysis_id,jrm39fsf69t7s7c
parameter_id,IMPC_EYE_009_001
gene_symbol,Cpa3
pvalue,0.6246299
mouse_life_stage,Early adult
