analysis_id,49n9o1uk68w33oy
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_name,Skull shape
mouse_strain,C57BL
parameter_id,IMPC_XRY_001_001
pvalue,0.6703417
