analysis_id,4pavy32922778x6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5149755
gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
