parameter_name,Stroke Volume
mouse_strain,C57BL
analysis_id,28vb2dk0rnz8sj9
parameter_id,IMPC_ECH_003_001
pvalue,0.1292674
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
