analysis_id,t45yxpjrs30j18k
pvalue,0.2174867
mouse_life_stage,Early adult
mouse_strain,C58BL
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
