parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
pvalue,0.6204532
analysis_id,1m60yipqi6x2jdz
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
