gene_symbol,Frmpd1
pvalue,0.2908303
mouse_life_stage,Middle aged adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,u8104w924t9gfa3
