analysis_id,7f0vffwet6s7b87
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Rap2b
pvalue,0.7087088
mouse_strain,C57BL
