gene_symbol,Frmpd1
pvalue,0.6651119
analysis_id,d83h50002528334
gene_accession_id,MGI:2446274
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
mouse_strain,C57BL
mouse_life_stage,Early adult
