Parameter_id,IMPC_ECH_003_001
Gene_symbol,Kcng1
Mouse_life_stage,Early adult
Analysis_id,hh9x35yc1onx4k0
Gene_accession_id,MGI:3616086
Parameter_name,Stroke Volume
Mouse_strain,C52BL
Pvalue,0.6640726
